Group 1,Group 2,Experiment
6,0,ixF
1,2,ixF
7,13,ixF
10,4,ixF
7,3,ixF
0,0,ixF
0,0,ixF
1,0,ixF
1,0,ixF
4,4,ixF
68,83,ixM
75,70,ixM
56,49,ixM
43,46,ixM
73,66,ixM
101,93,ixM
100,72,ixM
96,85,ixM
63,41,ixM
96,72,ixM
91,71,ndlF
86,51,ndlF
50,44,ndlF
66,64,ndlF
54,43,ndlF
45,28,ndlM
44,37,ndlM
47,48,ndlM
70,40,ndlM
44,40,ndlM
112,69,noxF
130,126,noxF
53,61,noxF
77,65,noxF
70,73,noxF
47,35,noxF
48,49,noxM
34,29,noxM
34,40,noxM
46,65,noxM
54,72,noxM
110,69,octF
73,57,octF
72,76,octF
71,69,octF
82,69,octF
69,69,octF
56,34,octF
61,65,octF
60,43,octM
47,53,octM
80,52,octM
60,56,octM
52,50,octM
50,65,stlF
72,66,stlF
61,53,stlF
31,47,stlF
50,61,stlF
36,45,stlF
65,54,stlM
54,55,stlM
46,66,stlM
49,67,stlM
54,50,stlM
51,53,stlM
56,69,stlM
66,50,trav1F
62,65,trav1F
50,62,trav1F
39,39,trav1F
63,52,trav1F
67,44,trav1F
74,62,trav1F
50,51,trav1F
63,35,trav1F
60,47,trav1F
66,49,trav1F
67,60,trav1F
64,64,trav1F
79,65,trav1M
69,65,trav1M
56,52,trav1M
84,72,trav1M
62,68,trav1M
67,56,trav1M
62,59,trav1M
62,59,trav1M
59,54,trav1M
62,65,trav1M
60,68,trav1M
72,58,trav1M
56,60,trav1M
58,58,trav1M
70,49,trav1M
80,86,trav2F
93,72,trav2F
74,77,trav2F
50,41,trav2F
55,64,trav2F
58,44,trav2F
73,59,trav2F
58,40,trav2F
64,46,trav2F
36,39,trav2F
42,36,trav2F
116,64,trav2M
100,121,trav2M
97,96,trav2M
69,71,trav2M
95,70,trav2M
39,54,trav2M
24,27,trav2M
6,4,trav2M
33,44,trav2M
0,0,trav2M
20,34,trav2M
28,23,trav2M
25,31,trav2M
35,26,trav2M
43,34,trav2M
45,42,virF
56,31,virF
29,12,virF
10,17,virF
39,38,virF
81,90,virM
44,49,virM
29,32,virM
52,75,virM
74,90,virM
61,50,decF
59,61,decF
73,52,decF
91,33,decF
61,51,decF
51,52,decF
78,64,sxlF
51,59,sxlF
72,57,sxlF
80,65,sxlF
61,100,sxlF
73,65,oct4415F
65,51,oct4415F
82,84,oct4415F
66,58,oct4415F
50,46,oct4415M
62,78,oct4415M
68,65,oct4415M
68,73,oct4415M
67,65,oct4415M
71,49,stl4415F
62,49,stl4415F
68,71,stl4415F
68,71,stl4415F
48,41,stl4415F
67,60,stl4415F
63,64,stl4415F
69,63,stl4415M
84,85,stl4415M
45,67,stl4415M
89,71,stl4415M
78,75,stl4415M
75,49,stl4415M
65,77,oct4415Fr
56,52,oct4415Fr
41,47,oct4415Fr
28,35,oct4415Fr
46,40,oct4415Fr
57,47,oct4415Fr
51,78,oct4415Mr
57,53,oct4415Mr
69,79,oct4415Mr
67,71,oct4415Mr
64,70,oct4415Mr
54,25,oct4415Mr
